,artist_name,track_name,track_id,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
612503,Miley Cyrus,Flowers,0yLdNVWF3Srea0uzk55zFn,100,pop,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,4
605178,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",4nrPB8O7Y7wsOCJdgXkthe,96,hip-hop,0.778,0.632,2,-5.6,0,0.0493,0.274,0.0,0.0915,0.498,122.104,4
612504,The Weeknd,Die For You - Remix,7oDd86yk8itslrA9HRP2ki,95,pop,0.531,0.525,1,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,4
569184,SZA,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,94,pop,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
569195,Manuel Turizo,La Bachata,5ww2BF9slyYgNOk37BlC4u,93,pop,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4
541577,David Guetta,I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,93,dance,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4
569191,Rema,Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,93,pop,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
569188,d4vd,Here With Me,78Sw5GDo6AlGwTwanjXbGh,92,pop,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,4
608232,NewJeans,OMG,65FftemJ1DbbZ45DUfHJXE,92,k-pop,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,4
569190,Sam Smith,Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,92,pop,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,4
560200,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",2tTmW7RDtMQtBk7m2rYeSw,92,hip-hop,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,4
569187,Taylor Swift,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,92,pop,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4
568440,OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,91,piano,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
569194,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,91,pop,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,3
574169,Natanael Cano,AMG,1lRtH4FszTrwwlK5gTSbXO,91,sad,0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,3
77591,Arctic Monkeys,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,91,garage,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
560194,Yandel,Yandel 150,2oiixB9QMIzhWaHGVlQx4g,91,hip-hop,0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,4
461991,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,90,pop,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4
377663,Chris Brown,Under The Influence,5IgjP7X4th6nMNDh4akUHb,90,dance,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,4
564141,NewJeans,Ditto,3r8RuvgbX9s7ammBn07D3W,90,k-pop,0.814,0.641,6,-5.957,0,0.111,0.027,0.0,0.0993,0.183,133.854,4
541578,RAYE,Escapism.,5Z2MiIZ5I3jJvvmeWMLbOQ,90,dance,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,4
817977,Eminem,Mockingbird,561jH07mF1jHuk7KlaeF0s,90,hip-hop,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,4
569215,Ozuna,Hey Mor,1zsPaEkglFvxjAhrM8yhpr,90,pop,0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,4
569186,SZA,Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,90,pop,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,4
569185,d4vd,Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,90,pop,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,4
569192,Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7,90,pop,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
615625,Peso Pluma,PRC,2mpoNBkngUEwnaKoBhZ0vl,90,sad,0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,3
560181,Drake,Rich Flex,1bDbXMyjaUIooNwFE9wn0N,90,hip-hop,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,3
541581,Meghan Trainor,Made You Look,0QHEIqNKsMoOY5urbzN48u,89,dance,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,4
541582,Tiësto,10:35,6BePGk3eCan4FqaW2X8Qy3,89,dance,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,4
